address,amount
3bQvcXYPiD7AUFHsidJzmKJo2U4RX81mrTveuXBunhQ9,213222199.14631143
2SP5VzXU86JMr3oZXxwakzBHP5ZDf9T3LNaAZbctjiG9,210909964.15921447
FBJyBQBiafxk2UnVKxWtfvCPGHdyuQY14y9LTB5weSzF,190071320.65397608
GLL5KQfLBQknLyyh6FxSVaeudM5HgiZKcVKE8AZG2ty3,58134383.48340011
2xGxAw3gH6nJmDxEWmUbT3cu2fWdwReTW77rUs8aarqA,55445784.23596645
8nDwf9PFgnotsfveC3iZXg3ZRkPkXhD4jKSCpfVmAMaR,50643045.770258315
DHWgzQNdYzCF2MUv16fc1oPxNMFNWM48TRNHkS2BZ1x6,50423304.59512718
CvHUwL85tewrTjJCBRT2jmVNUo2zKJefk1sWs4oUAyxr,32116989.12734087
38DbzD85mvT1oG6W9trn6dKcv5arMJKgQXauBCVZmYKX,30340765.901680324
9WfNTQUfxFa7HWt2sMdC4EtWnKtsMxiZAt7yZQNtwspe,20431436.257355165
AvbFf7gDEEK67rh5fyRjCkWK9kDR3YvbzdZxjfbAEP7a,17852668.15320779
AK224Fowx1Qp58dvZ8RQvQFfnbW31DSweyydvoRC7uH2,17507655.838506825
54r2EwNZhSMxeEsGdhZZVZeUnhoo5vQXwQkd9n2uMSDL,15727388.163010718
Bdy1s4uAmpbSM4hDvgSxAbLVqrNEFDXUtNMRUPLffqwb,9719163.099941073
6ZVuhhcs3VmMZyVgtiRGZNhqTG17GfzrKa5RX21iyRwU,7198694.338166443
4YMhuCqpAZUY9XugSQF6BvHCcpJpQxcEwS8tn6ewiq7b,6996318.872461155
81daMQQ4HNB1tZNQEmCzM7VJkKJDRwznm9CJKmbLkvDb,5425152.696988041
HSJzNRCrtDdiHP7GbHFgnKCUs1AecaoF1JmoRUQ63Pp,5144342.2243056875
HJjzT1Y11AS5JC24dDprX4qMWjR2y1VqUYBUyiGUC3s6,1569034.1615332488
HW3fEvVbD2fL9eVYhQFbG7Nj4fohwZpA3Adfkt5K6yiG,1120389.1212486865
