address,amount
aVuLr2twoecnZGWqHFVtRtPM6W5iwSPfHRr9cpp9mMf,888888888.8888888
4jLcjZLcDcGuS1M4SHtBRPXs2h3HULUL2fDnCuaaLzzY,888888888.8888888
3Ndn8F31Hg9hRnkCZYCxsXoa9NbQQ4Vt9EG13Ja15rQh,888888888.8888888
8hT925qfnM9ZYh5pdhYAMQRVhafaMggMUHmo3n5mjP5z,888888888.8888888
9DfWWnw9BCEhtCcB4je8uqYrywwhKowcLE75qPeDmHR7,888888888.8888888
2UQZkgiXwgRxvP4iYnGSnB97LnE9vwToQNCmZ5LtDLLx,888888888.8888888
Ay6MTCFgyYp698ArHmYDy7HmhmGooRUSh3TgZSzWgyP4,888888888.8888888
AYmTUbXhUA9gW6Q4QeqTPwKhniVPextiFR4YYCYi7SCK,888888888.8888888
3bdHsawqrzUpXxx9UerrT9fpRn5XaAXA9Tt6SoPreKKb,888888888.8888888
EkD5XJrfgbZbBZ6zYx9Rdaqw4z2t4TCe6gh5BE4KJc76,888888888.8888888
Dfkb27UjkYuJfJD8GkZSHhKXkBqsMBQMC2Y1TdDpxE1J,888888888.8888888
G9vhf1ZXo35BUDWu9QKa2ZyJ4nnQiY3wdACxZSrtDB3i,888888888.8888888
AgxPPPEy4DAaUdCRuSpmXRirC9KXCA19vZA5gEmcVKaw,888888888.8888888
CRL8YdkoqXTxsYdVVWkem2eKFTBSDgQNK62Ev97qwpqp,888888888.8888888
C2kKeQfi7G2hZCRx1nDqh91r9bKSKveFRQrL9aCxgkj8,888888888.8888888
2xrNm4KU8T7WWr8ZeWgG2JxekvQ6eMAms57RakaLnZ5K,888888888.8888888
AqYaD8wLqfsEXsM1Kvv2nQ6PkaAhTGywH7XQdB1KdGBb,888888888.8888888
7Ljng8PksFpyAFdy4uijymG5Zj8wd9G73FFuKt5pZM6p,888888888.8888888
