address,amount
2UQZkgiXwgRxvP4iYnGSnB97LnE9vwToQNCmZ5LtDLLx,888888888.8888888
9hMhLXjAR4FzFmqYzKgfiYMdRDxrUSnyvErbX4Tu1t5t,888888888.8888888
4o4BGwEg5DgCyc89TK2qXaaYRTb3FCtqLbvFyr4w8ddT,888888888.8888888
DX38UJqioMGtXrkStz4eoM5t4FoWC5nub6jwiKP8xcZG,888888888.8888888
A9kbMEknBao8YdMyqMLiUPkkArsr8TghGFQAtyZ3U8ZB,888888888.8888888
9MHFFoGAyuTZXj8E91oWTFmsYpBVJYgdW6Dpr8Pdwks6,888888888.8888888
9JpavsYL6t8Rq3cUppzsc3b2cFPzzY4aT26BqSvsnxZL,888888888.8888888
4CDmnk6eZVHdxR6cpfcxFJEw9fZ2rP2wvsUA7BqkJ6Qa,888888888.8888888
5udYassbkVJUgFJC2L5bVUhYhhoFVsoNQK96vPkqwnJL,888888888.8888888
F1e2exYxHqcbShNnop5Wwfrj2mfGbzrqvCaz9E5YLoYc,888888888.8888888
GfSrpryHRuDXUaLZc3uQ6ijfUqpYbknL8QSgdBNGGL5i,888888888.8888888
9Wvq81brwprgf22918qP4JZzYqELbXi5C8TmyUCZHm6R,888888888.8888888
3Ndn8F31Hg9hRnkCZYCxsXoa9NbQQ4Vt9EG13Ja15rQh,888888888.8888888
CRL8YdkoqXTxsYdVVWkem2eKFTBSDgQNK62Ev97qwpqp,888888888.8888888
5rf7VxMPCsub2jpKzZQQWpTzobyMtNT1NXe2pH4SsmCs,888888888.8888888
HjsiuQiE8AJaAfyEqEEjVhJ9HyGuaSJScpxJrLgMEX4r,888888888.8888888
8EHixZ2nqAjPx6QYppDzZUeTWmpTGHJuLSCHW4vEgfz2,888888888.8888888
DjBZ8776q4pp82RTWVxdQ7MpbpS3jfUy159J7JmCXtzG,888888888.8888888
