address,ata_address,amount,uiAmount,decimals
2UQZkgiXwgRxvP4iYnGSnB97LnE9vwToQNCmZ5LtDLLx,3bQvcXYPiD7AUFHsidJzmKJo2U4RX81mrTveuXBunhQ9,211448272168910,211448.27216891,9
9Dpjw2pB5kXJr6ZTHiqzEMfJPic3om9jgNacnwpLCoaU,2SP5VzXU86JMr3oZXxwakzBHP5ZDf9T3LNaAZbctjiG9,209155274090719,209155.274090719,9
1nc1nerator11111111111111111111111111111111,FBJyBQBiafxk2UnVKxWtfvCPGHdyuQY14y9LTB5weSzF,188490000112830,188490.00011283,9
9hMhLXjAR4FzFmqYzKgfiYMdRDxrUSnyvErbX4Tu1t5t,GLL5KQfLBQknLyyh6FxSVaeudM5HgiZKcVKE8AZG2ty3,57650727693390,57650.72769339,9
4o4BGwEg5DgCyc89TK2qXaaYRTb3FCtqLbvFyr4w8ddT,2xGxAw3gH6nJmDxEWmUbT3cu2fWdwReTW77rUs8aarqA,54984496561263,54984.496561263,9
DX38UJqioMGtXrkStz4eoM5t4FoWC5nub6jwiKP8xcZG,8nDwf9PFgnotsfveC3iZXg3ZRkPkXhD4jKSCpfVmAMaR,50221715038893,50221.715038893,9
A9kbMEknBao8YdMyqMLiUPkkArsr8TghGFQAtyZ3U8ZB,DHWgzQNdYzCF2MUv16fc1oPxNMFNWM48TRNHkS2BZ1x6,50003802026121,50003.802026121,9
9MHFFoGAyuTZXj8E91oWTFmsYpBVJYgdW6Dpr8Pdwks6,CvHUwL85tewrTjJCBRT2jmVNUo2zKJefk1sWs4oUAyxr,31849788086952,31849.788086952,9
9JpavsYL6t8Rq3cUppzsc3b2cFPzzY4aT26BqSvsnxZL,38DbzD85mvT1oG6W9trn6dKcv5arMJKgQXauBCVZmYKX,30088342357774,30088.342357774,9
4CDmnk6eZVHdxR6cpfcxFJEw9fZ2rP2wvsUA7BqkJ6Qa,9WfNTQUfxFa7HWt2sMdC4EtWnKtsMxiZAt7yZQNtwspe,20261454538242,20261.454538242,9
5udYassbkVJUgFJC2L5bVUhYhhoFVsoNQK96vPkqwnJL,AvbFf7gDEEK67rh5fyRjCkWK9kDR3YvbzdZxjfbAEP7a,17704140796383,17704.140796383,9
F1e2exYxHqcbShNnop5Wwfrj2mfGbzrqvCaz9E5YLoYc,AK224Fowx1Qp58dvZ8RQvQFfnbW31DSweyydvoRC7uH2,17361998851911,17361.998851911,9
GfSrpryHRuDXUaLZc3uQ6ijfUqpYbknL8QSgdBNGGL5i,54r2EwNZhSMxeEsGdhZZVZeUnhoo5vQXwQkd9n2uMSDL,15596542321170,15596.54232117,9
9Wvq81brwprgf22918qP4JZzYqELbXi5C8TmyUCZHm6R,Bdy1s4uAmpbSM4hDvgSxAbLVqrNEFDXUtNMRUPLffqwb,9638303387914,9638.303387914,9
3Ndn8F31Hg9hRnkCZYCxsXoa9NbQQ4Vt9EG13Ja15rQh,6ZVuhhcs3VmMZyVgtiRGZNhqTG17GfzrKa5RX21iyRwU,7138803960243,7138.803960243,9
CRL8YdkoqXTxsYdVVWkem2eKFTBSDgQNK62Ev97qwpqp,4YMhuCqpAZUY9XugSQF6BvHCcpJpQxcEwS8tn6ewiq7b,6938112180850,6938.11218085,9
5rf7VxMPCsub2jpKzZQQWpTzobyMtNT1NXe2pH4SsmCs,81daMQQ4HNB1tZNQEmCzM7VJkKJDRwznm9CJKmbLkvDb,5380017505792,5380.017505792,9
HjsiuQiE8AJaAfyEqEEjVhJ9HyGuaSJScpxJrLgMEX4r,HSJzNRCrtDdiHP7GbHFgnKCUs1AecaoF1JmoRUQ63Pp,5101543268619,5101.543268619,9
8EHixZ2nqAjPx6QYppDzZUeTWmpTGHJuLSCHW4vEgfz2,HJjzT1Y11AS5JC24dDprX4qMWjR2y1VqUYBUyiGUC3s6,1555980398657,1555.980398657,9
DjBZ8776q4pp82RTWVxdQ7MpbpS3jfUy159J7JmCXtzG,HW3fEvVbD2fL9eVYhQFbG7Nj4fohwZpA3Adfkt5K6yiG,1111067913160,1111.06791316,9
