address,ata_address,amount,uiAmount,decimals
9Dpjw2pB5kXJr6ZTHiqzEMfJPic3om9jgNacnwpLCoaU,H5Ah7vLedfqwNHGxsGbuX36qwPrwMapJpy7DkJEtStmC,306621699115554897,30662169911555.49,4
aVuLr2twoecnZGWqHFVtRtPM6W5iwSPfHRr9cpp9mMf,DNiQ6om2hkvHNAzp6LRsLKRzqd5QnuYo3cDHvNVy4Qqj,213765290419976000,21376529041997.6,4
4jLcjZLcDcGuS1M4SHtBRPXs2h3HULUL2fDnCuaaLzzY,6aJ2BAuLcXsXdgZKjkEpGuwhLK9bPv2Ep8zbc8SNFvpQ,207466495296052311,20746649529605.23,4
3Ndn8F31Hg9hRnkCZYCxsXoa9NbQQ4Vt9EG13Ja15rQh,Hg2XQtVgQkCBscwkT4TosKAQtVXSke7WAuGwgBhnahqK,203649698111494002,20364969811149.402,4
8hT925qfnM9ZYh5pdhYAMQRVhafaMggMUHmo3n5mjP5z,7PqnvMMGNaPnYMRrTbyrrKNByfwkSafJbPo2mXUAjhuw,184722892256831775,18472289225683.176,4
9DfWWnw9BCEhtCcB4je8uqYrywwhKowcLE75qPeDmHR7,4LSZ4poyvCMc44uBn7nt9dqWJe5Rt79jNYAafTY8vgoV,180519937232500000,18051993723250.0,4
2UQZkgiXwgRxvP4iYnGSnB97LnE9vwToQNCmZ5LtDLLx,4Qj2p7ZwpoJLZfjGVjJvZFEpKsLTtwWJ2yAZ6SgErep6,161327250978466026,16132725097846.602,4
Ay6MTCFgyYp698ArHmYDy7HmhmGooRUSh3TgZSzWgyP4,ACY3Q1d8BGNueFcSqUC17z3FJWaHPUCMBkpsrwgBjyjj,145285833379309814,14528583337930.982,4
1nc1nerator11111111111111111111111111111111,8mkNVHbimMSAZeXfzTPo6N9gGf2RbCGfTQRLL7pWqLZy,113836450351298130,11383645035129.812,4
AYmTUbXhUA9gW6Q4QeqTPwKhniVPextiFR4YYCYi7SCK,2MdRygZN3UvjyqmF5vnJYbUqsop5Vj7Q57mHXgv1jVbf,76939775249591188,7693977524959.118,4
3bdHsawqrzUpXxx9UerrT9fpRn5XaAXA9Tt6SoPreKKb,FfXm3FdPYJB2EhupwPWd6r7r3z5S3VrJHpkLXS81hZRj,70000000000000005,7000000000000.001,4
EkD5XJrfgbZbBZ6zYx9Rdaqw4z2t4TCe6gh5BE4KJc76,EyER4qFnuee9wyg9GgX27YARJhFMiVFtpjazRBHr7jRq,66607006439497705,6660700643949.7705,4
Dfkb27UjkYuJfJD8GkZSHhKXkBqsMBQMC2Y1TdDpxE1J,GmgeRk62Saw914msFupWJwpAaemDkcvSKoPBkaeuATZy,60852573283274716,6085257328327.472,4
G9vhf1ZXo35BUDWu9QKa2ZyJ4nnQiY3wdACxZSrtDB3i,2cKDn3qFj4hss987sz4V98p8WzJWuc7mXKfH1VeeGjCN,59335098886780378,5933509888678.038,4
AgxPPPEy4DAaUdCRuSpmXRirC9KXCA19vZA5gEmcVKaw,EQZEm4Y6favoFhqKBAP7anDoKxL8A6kVdfP4mJQHbvHS,46655208297553531,4665520829755.353,4
CRL8YdkoqXTxsYdVVWkem2eKFTBSDgQNK62Ev97qwpqp,DCRER1X8xEJqkhnjQG5CgkANpVQVWeAGop5P5hjnDSAn,46130672574267815,4613067257426.781,4
C2kKeQfi7G2hZCRx1nDqh91r9bKSKveFRQrL9aCxgkj8,2HNkAxYK2mLF8ReWf4bvLZKa3iJXRVrpVg346Tg7c6Ah,39960971283813990,3996097128381.3994,4
2xrNm4KU8T7WWr8ZeWgG2JxekvQ6eMAms57RakaLnZ5K,477NkDK4NULRh4T5Z8PjV4xmKpUxMhXnvJFJRUKHrESD,36295736332522814,3629573633252.2817,4
AqYaD8wLqfsEXsM1Kvv2nQ6PkaAhTGywH7XQdB1KdGBb,EYdKqFN82Mo9XNChSV9e66RmFJBG3kgsdmL1s6YTaUvb,29999999999999995,2999999999999.9995,4
7Ljng8PksFpyAFdy4uijymG5Zj8wd9G73FFuKt5pZM6p,7cPeAZ4axiFB1Ju58qLUv1bywFzJjd5r7veycky4jP3r,29661840717717852,2966184071771.785,4
